Date,AAPL,JD,AMZN,BABA,SPY
2019-12-02 00:00:00+00:00,66.04,32.29,89.08,196.31,311.64
2019-12-03 00:00:00+00:00,64.8625,32.03,88.498,194.9,309.55
2019-12-04 00:00:00+00:00,65.435,31.56,88.0345,193.74,311.46
2019-12-05 00:00:00+00:00,66.395,32.54,87.024,200.0,312.02
2019-12-06 00:00:00+00:00,67.6775,32.93,87.58,201.89,314.87
2019-12-09 00:00:00+00:00,66.73,33.25,87.4755,198.74,313.88
2019-12-10 00:00:00+00:00,67.12,33.26,86.9605,200.45,313.53
2019-12-11 00:00:00+00:00,67.6925,33.24,87.436,204.64,314.42
2019-12-12 00:00:00+00:00,67.865,33.82,88.0165,204.5,317.13
2019-12-13 00:00:00+00:00,68.7875,34.0,88.047,204.91,317.32
2019-12-16 00:00:00+00:00,69.965,34.64,88.4605,206.97,319.5
2019-12-17 00:00:00+00:00,70.1025,34.69,89.533,208.18,319.57
2019-12-18 00:00:00+00:00,69.935,34.44,89.2015,210.0,319.59
2019-12-19 00:00:00+00:00,70.005,34.78,89.614,210.13,320.9
2019-12-20 00:00:00+00:00,69.86,35.31,89.325,212.25,320.73
2019-12-23 00:00:00+00:00,71.0,36.26,89.65,214.83,321.22
2019-12-24 00:00:00+00:00,71.0675,36.28,89.4605,214.26,321.23
2019-12-26 00:00:00+00:00,72.4775,36.24,93.4385,216.38,322.94
2019-12-27 00:00:00+00:00,72.45,35.93,93.49,215.47,322.86
2019-12-30 00:00:00+00:00,72.88,35.4,92.3445,212.91,321.08
2019-12-31 00:00:00+00:00,73.4125,35.23,92.392,212.1,321.86
2020-01-02 00:00:00+00:00,75.0875,37.73,94.9005,219.77,324.87
2020-01-03 00:00:00+00:00,74.3575,37.99,93.7485,217.0,322.41
2020-01-06 00:00:00+00:00,74.95,38.0,95.144,216.64,323.64
2020-01-07 00:00:00+00:00,74.5975,38.32,95.343,217.63,322.73
2020-01-08 00:00:00+00:00,75.7975,38.3,94.5985,218.0,324.45
2020-01-09 00:00:00+00:00,77.4075,38.9,95.0525,221.78,326.65
2020-01-10 00:00:00+00:00,77.5825,39.11,94.158,223.83,325.71
2020-01-13 00:00:00+00:00,79.24,40.31,94.565,230.48,327.95
2020-01-14 00:00:00+00:00,78.17,40.29,93.472,226.49,327.45
2020-01-15 00:00:00+00:00,77.835,39.78,93.101,225.06,328.19
