Date,GOLD,SRPT
2019-11-25 00:00:00+00:00,16.43,107.09
2019-11-26 00:00:00+00:00,16.86,108.89
2019-11-27 00:00:00+00:00,16.7,110.92
2019-11-29 00:00:00+00:00,16.8,112.49
2019-12-02 00:00:00+00:00,16.89,108.78
2019-12-03 00:00:00+00:00,17.28,111.31
2019-12-04 00:00:00+00:00,17.03,111.38
2019-12-05 00:00:00+00:00,17.16,109.96
2019-12-06 00:00:00+00:00,16.89,109.46
2019-12-09 00:00:00+00:00,16.85,105.75
2019-12-10 00:00:00+00:00,17.14,106.17
2019-12-11 00:00:00+00:00,17.62,101.45
2019-12-12 00:00:00+00:00,17.56,100.47
2019-12-13 00:00:00+00:00,17.58,132.05
2019-12-16 00:00:00+00:00,17.42,135.35
2019-12-17 00:00:00+00:00,17.39,131.47
2019-12-18 00:00:00+00:00,17.93,126.62
2019-12-19 00:00:00+00:00,17.71,125.31
2019-12-20 00:00:00+00:00,17.45,126.17
2019-12-23 00:00:00+00:00,17.76,135.58
2019-12-24 00:00:00+00:00,18.31,134.3
2019-12-26 00:00:00+00:00,18.36,132.98
2019-12-27 00:00:00+00:00,18.37,129.77
2019-12-30 00:00:00+00:00,18.61,128.79
2019-12-31 00:00:00+00:00,18.59,129.04
2020-01-02 00:00:00+00:00,18.49,129.09
2020-01-03 00:00:00+00:00,18.57,129.78
2020-01-06 00:00:00+00:00,18.39,131.45
2020-01-07 00:00:00+00:00,18.47,130.22
2020-01-08 00:00:00+00:00,17.82,130.03
2020-01-09 00:00:00+00:00,17.6,131.64
2020-01-10 00:00:00+00:00,17.85,129.02
2020-01-13 00:00:00+00:00,17.45,124.63
2020-01-14 00:00:00+00:00,17.56,127.93
2020-01-15 00:00:00+00:00,17.9,130.24
2020-01-16 00:00:00+00:00,18.09,130.3
2020-01-17 00:00:00+00:00,17.95,127.9
2020-01-21 00:00:00+00:00,18.35,122.99
2020-01-22 00:00:00+00:00,18.29,118.33
2020-01-23 00:00:00+00:00,18.43,113.68
2020-01-24 00:00:00+00:00,18.71,112.39
2020-01-27 00:00:00+00:00,18.62,111.62
2020-01-28 00:00:00+00:00,18.0,117.93
2020-01-29 00:00:00+00:00,18.37,119.87
2020-01-30 00:00:00+00:00,18.44,117.82
2020-01-31 00:00:00+00:00,18.52,115.96
2020-02-03 00:00:00+00:00,18.28,115.32
2020-02-04 00:00:00+00:00,18.02,121.14
2020-02-05 00:00:00+00:00,18.02,121.66
2020-02-06 00:00:00+00:00,18.35,121.69
2020-02-07 00:00:00+00:00,18.19,118.46
2020-02-10 00:00:00+00:00,18.43,123.72
2020-02-11 00:00:00+00:00,18.44,123.96
2020-02-12 00:00:00+00:00,18.41,125.44
2020-02-13 00:00:00+00:00,18.93,125.03
2020-02-14 00:00:00+00:00,19.72,125.42
2020-02-18 00:00:00+00:00,20.58,122.78
2020-02-19 00:00:00+00:00,21.0,121.9
2020-02-20 00:00:00+00:00,20.77,123.09
2020-02-21 00:00:00+00:00,21.44,123.98
2020-02-24 00:00:00+00:00,22.03,119.57
2020-02-25 00:00:00+00:00,21.25,113.79
2020-02-26 00:00:00+00:00,21.09,113.63
2020-02-27 00:00:00+00:00,19.78,107.67
2020-02-28 00:00:00+00:00,19.04,114.47
2020-03-02 00:00:00+00:00,19.86,119.86
2020-03-03 00:00:00+00:00,20.62,116.1
2020-03-04 00:00:00+00:00,20.55,119.18
2020-03-05 00:00:00+00:00,21.16,120.06
2020-03-06 00:00:00+00:00,21.23,117.1
2020-03-09 00:00:00+00:00,20.43,106.87
2020-03-10 00:00:00+00:00,19.87,110.38
2020-03-11 00:00:00+00:00,18.79,102.83
2020-03-12 00:00:00+00:00,16.88,94.19
2020-03-13 00:00:00+00:00,15.67,99.83
2020-03-16 00:00:00+00:00,16.33,85.17
2020-03-17 00:00:00+00:00,17.71,86.81
2020-03-18 00:00:00+00:00,15.88,82.38
2020-03-19 00:00:00+00:00,16.08,87.22
2020-03-20 00:00:00+00:00,15.88,87.01
2020-03-23 00:00:00+00:00,16.93,89.38
2020-03-24 00:00:00+00:00,19.5,92.72
2020-03-25 00:00:00+00:00,19.11,94.53
2020-03-26 00:00:00+00:00,19.58,99.01
2020-03-27 00:00:00+00:00,19.24,94.44
2020-03-30 00:00:00+00:00,19.29,98.52
2020-03-31 00:00:00+00:00,18.32,97.82
2020-04-01 00:00:00+00:00,18.87,93.0
2020-04-02 00:00:00+00:00,19.85,95.98
2020-04-03 00:00:00+00:00,19.95,93.62
2020-04-06 00:00:00+00:00,20.55,101.07
2020-04-07 00:00:00+00:00,20.31,99.98
2020-04-08 00:00:00+00:00,20.41,103.87
2020-04-09 00:00:00+00:00,22.51,108.75
2020-04-13 00:00:00+00:00,24.37,111.61
2020-04-14 00:00:00+00:00,24.43,113.05
2020-04-15 00:00:00+00:00,24.47,112.09
2020-04-16 00:00:00+00:00,25.0,112.74
2020-04-17 00:00:00+00:00,24.54,118.54
2020-04-20 00:00:00+00:00,24.92,118.52
2020-04-21 00:00:00+00:00,24.82,113.4
2020-04-22 00:00:00+00:00,26.48,114.34
2020-04-23 00:00:00+00:00,26.74,115.31
2020-04-24 00:00:00+00:00,27.1,121.53
2020-04-27 00:00:00+00:00,26.93,122.12
2020-04-28 00:00:00+00:00,26.96,119.69
2020-04-29 00:00:00+00:00,26.55,117.09
2020-04-30 00:00:00+00:00,25.72,117.88
2020-05-01 00:00:00+00:00,26.93,113.34
2020-05-04 00:00:00+00:00,27.38,118.34
2020-05-05 00:00:00+00:00,28.19,119.44
2020-05-06 00:00:00+00:00,26.56,122.57
2020-05-07 00:00:00+00:00,27.26,123.61
2020-05-08 00:00:00+00:00,27.39,128.0
2020-05-11 00:00:00+00:00,26.02,135.83
2020-05-12 00:00:00+00:00,26.04,132.89
2020-05-13 00:00:00+00:00,26.12,128.23
2020-05-14 00:00:00+00:00,27.14,127.05
2020-05-15 00:00:00+00:00,28.04,141.25
2020-05-18 00:00:00+00:00,27.2,146.77
2020-05-19 00:00:00+00:00,28.1,145.46
2020-05-20 00:00:00+00:00,27.25,150.09
2020-05-21 00:00:00+00:00,26.26,145.740005
2020-05-22 00:00:00+00:00,26.32,150.6
2020-05-26 00:00:00+00:00,24.73,154.05
2020-05-27 00:00:00+00:00,23.92,157.16
2020-05-28 00:00:00+00:00,23.95,153.0
2020-05-29 00:00:00+00:00,24.0,152.27
2020-06-01 00:00:00+00:00,24.78,149.76
2020-06-02 00:00:00+00:00,23.95,151.0
2020-06-03 00:00:00+00:00,23.22,149.04
2020-06-04 00:00:00+00:00,23.43,145.01
2020-06-05 00:00:00+00:00,23.29,147.99
2020-06-08 00:00:00+00:00,23.56,159.68
2020-06-09 00:00:00+00:00,24.33,155.65
2020-06-10 00:00:00+00:00,25.08,159.83
2020-06-11 00:00:00+00:00,24.31,153.6
2020-06-12 00:00:00+00:00,24.07,158.85
2020-06-15 00:00:00+00:00,24.74,158.02
2020-06-16 00:00:00+00:00,24.38,160.22
2020-06-17 00:00:00+00:00,24.25,163.42
2020-06-18 00:00:00+00:00,23.94,165.22
2020-06-19 00:00:00+00:00,24.49,168.82
2020-06-22 00:00:00+00:00,25.45,171.7
2020-06-23 00:00:00+00:00,25.68,168.81
2020-06-24 00:00:00+00:00,25.71,163.63
2020-06-25 00:00:00+00:00,25.73,167.31
